"","Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","GNDVI_62","NDVI_62","GNDVI_76","NDVI_76","GNDVI_90","NDVI_90","GNDVI_96","NDVI_96","GNDVI_104","NDVI_104","GNDVI_114","NDVI_114","GNDVI_130","NDVI_130","GNDVI_138","NDVI_138","GNDVI_144","NDVI_144","GNDVI_150","NDVI_150","GNDVI_160","NDVI_160","GNDVI_166","NDVI_166","GNDVI_174","NDVI_174","GNDVI_180","NDVI_180","GNDVI_256","NDVI_256","GNDVI_264","NDVI_264","GNDVI_270","NDVI_270","GNDVI_278","GNDVI_284","NDVI_284","GNDVI_292","NDVI_292","sca_yld1","sca_yld2","sca_yld3","sca_yld4","sca_yld5","sca_yld1_pred_slr","sca_yld2_pred_slr","sca_yld3_pred_slr","sca_yld5_pred_slr"
"1","SW_1011","1","300","1","1",8.3,4.55,6.1,0.4,6.05,-0.0814892329956056,0.450568858,-0.0583049352244414,0.450915777,0.132034140253205,0.396815285,0.275234403724429,0.526684756,0.338864194948557,0.515866007,0.24970810005718,0.569178774,0.241492440828845,0.49050852,0.256433876745541,0.419094279,0.282719214261829,0.524506635,0.160651577140271,0.417351464,-0.00738183811269644,0.262539673,0.00761758144492447,0.464649221,0.189637535307554,0.377501482,0.314342192213627,0.512856317,0.0909381482651339,0.23049367,0.151841416651849,0.425819584,0.186968235454695,0.497962483,0.253471973911654,0.237443279733552,0.476293226,0.327172919526342,0.528467827,0.208866197681148,0.147544960306479,0.198307335575826,0.0429058055333045,0.414970037713133,0.0401744449508229,-0.0719978634360296,0.00078104902676468,0.0731173389538358
"2","SW_8421S","1","301","1","2",10.25,6.85,9.15,1.3,7.6,-0.00547924438763582,0.463592877,0.00596789859532179,0.453427243,0.126976835381617,0.389756957,0.2912423142182,0.52182835,0.336304212346861,0.537286227,0.300318784473783,0.5809646,0.347627173394707,0.530198968,0.318471521211513,0.499593225,0.386012583102943,0.571518681,0.338462283401939,0.504022012,0.0938643195503099,0.236856943,0.121364044427142,0.464943107,0.2755016939864,0.499310653,0.382045083778698,0.550292645,0.159555652519275,0.33858464,0.288245372739184,0.553732357,0.375227958513392,0.593701685,0.2976656271598,0.267343142577609,0.548581737,0.361630847828462,0.569137368,0.257937171835153,0.222128127054809,0.297461003363738,0.13944386798324,0.521284675474349,-0.0200496309654538,-0.0699458711035981,-0.0245269019391347,0.0807423275715587
"3","NM1715PAR","2","302","1","3",7.8,5.4,7.05,0.6,6.45,-0.0663533309821834,0.498299591,-0.0350256635794625,0.467419552,0.0836994789327529,0.350185054,0.216075175013545,0.490986864,0.258359068967226,0.463883372,0.256663328864056,0.554967871,0.24338959431054,0.483581692,0.282553165413068,0.468618937,0.344611668656807,0.552768116,0.293304017624613,0.46254947,0.080632179734167,0.202880713,0.0654943429829638,0.464745082,0.232864057694204,0.480024375,0.349410713961831,0.57138969,0.104215548541349,0.269545136,0.215029857417689,0.452209125,0.309015855656119,0.554702039,0.285692276730498,0.267612442955564,0.54181325,0.378099096810207,0.575386977,0.196283896616019,0.175108304539557,0.229191264886815,0.0643587082999567,0.442406073264414,-0.0168894276621095,-0.0322951189519299,-0.0249483415609237,0.0523550119650812
"4","NM170506PAR","2","303","1","4",9.5,5.95,8.55,1.15,7.25,-0.0160490672771642,0.483607508,-0.00809716196898026,0.466717073,0.109619248285107,0.380694755,0.279506411694191,0.499669081,0.271734319930353,0.490785724,0.272736111052336,0.576656888,0.326997588739392,0.524662373,0.283508611642261,0.47302347,0.367643324115646,0.582125725,0.315297436610745,0.472109309,0.0805259525298068,0.200509388,0.115525729727391,0.473128978,0.238947137223116,0.463724387,0.374408588570694,0.566495575,0.109148217668279,0.313089824,0.214012566172288,0.494299611,0.358057015759394,0.581074782,0.270229243027846,0.248654011740163,0.541571416,0.365652303964035,0.572098098,0.239063720237459,0.192943409631549,0.277955363798903,0.12335419090825,0.497278144366977,-0.0511125905906263,-0.0376465831511586,-0.0246270153755153,0.0590369172222153
"5","SW_9813","3","304","1","5",9.35,5.35,8.2,0.85,7.1,-0.0311637855115635,0.479640606,-0.0457429283466656,0.462055388,0.102549511504214,0.375488825,0.280144479501447,0.501085356,0.255508101834617,0.46160684,0.263151272113045,0.577467485,0.294041932141551,0.514494304,0.27260883126933,0.453980805,0.347610925962028,0.573247145,0.235248339438227,0.414209866,0.0511886539724871,0.169309529,0.0730526929353229,0.455462464,0.208519151435552,0.416195536,0.342787511014382,0.543017139,0.0583933729815694,0.329647481,0.17189261728864,0.447654469,0.308465698027864,0.55944293,0.274158530958698,0.219598604718779,0.492485139,0.327080503841424,0.530749631,0.23528902991792,0.173486931349376,0.266577074052749,0.091174836758272,0.486989631035247,-0.150287661101464,-0.156548520177668,-0.081154878344117,0.0253051172773458
"6","DONA_ANA","3","305","1","6",9.15,4.95,7.3,0.9,7.2,-0.0365130268271406,0.477244546,-0.0490854893485559,0.460276315,0.113207956309734,0.379459588,0.299442297127833,0.510131023,0.288350632697935,0.495142042,0.304539614311413,0.581547831,0.302276345013845,0.507499545,0.275982153068072,0.444016314,0.352176822521957,0.569083148,0.23820232210344,0.439747572,0.0479758059156516,0.198417583,0.0671679598193444,0.469653933,0.203998663829154,0.415984582,0.367055258916514,0.555148349,0.114352701205387,0.303109203,0.21194510533914,0.480120546,0.340892765749184,0.565902375,0.307580881559869,0.236628122237468,0.52849293,0.359248500184772,0.561099521,0.230256109491868,0.160515945827928,0.237318614705496,0.096538062449935,0.493848639923067,-0.111846073560597,-0.0622941169164484,-0.0122332152010211,0.056713210191213
"7","NM1712PAR","4","306","1","7",8.35,4.9,6.45,0.4,5.65,-0.0604476201835268,0.488349297,-0.066160583250568,0.463259757,0.0835991638437823,0.359343521,0.227899107469703,0.489925734,0.273215680328496,0.456693397,0.293548067418731,0.568510745,0.244956981752226,0.493020976,0.277847362342033,0.445265604,0.340183057883697,0.567390717,0.253788289706312,0.445819908,0.0442379303697354,0.252420272,0.0728765830679519,0.465719927,0.196204857987441,0.421350202,0.353412804429241,0.562048323,0.0509558817186828,0.258308667,0.139255652930821,0.418966964,0.249675873633162,0.525857424,0.255229272127744,0.214931300216464,0.509658922,0.328537542479025,0.549820172,0.210124427787661,0.158894572637747,0.209685625321979,0.0429058055333045,0.387534002161851,-0.112524561200412,-0.0481444812256565,0.00340184294056168,0.0489329271214653
"8","NM1704PAR","4","307","1","8",9.15,4.85,7.1,0.7,6.35,-0.0259783187728737,0.485055678,-0.0324959406791493,0.463810909,0.120441026375437,0.362459045,0.253202698644258,0.498803449,0.275238347969674,0.476668493,0.305116696019293,0.582389969,0.262832628807081,0.515467847,0.292654543595303,0.473754546,0.354409004039633,0.584803478,0.259130145928751,0.449678933,-0.0319529463528187,0.424025989,0.0700508889626813,0.457248848,0.1752556922255,0.413110032,0.319190316693642,0.564572049,0.0500531544857474,0.301873437,0.134791601256512,0.442718013,0.273166768997108,0.54221557,0.263782949774141,0.228752579231983,0.522832385,0.325449582749371,0.562105538,0.230256109491868,0.157273199447565,0.230816734850551,0.0750851596832828,0.435547064376594,-0.124746518770048,-0.0969927298393888,-0.0444541538576369,0.0055931032697216
"9","NUMEX_BILL_MELTON_CA_2019","4","308","2","8",10.5,6.35,7.9,1.1,7.1,-0.0395911609627136,0.48868013,-0.0220376015491439,0.467035751,0.0965078047779912,0.389309961,0.255628220039308,0.505175723,0.27138233247571,0.469655555,0.355388961519158,0.590773994,0.24814675690714,0.50711542,0.25777246887945,0.470046411,0.359812148921834,0.587847789,0.279325285014311,0.472714068,-0.0421976618180871,0.370822113,0.0635962756321391,0.454875762,0.160249196184623,0.399874495,0.340780585910212,0.567160381,0.0542517851963299,0.323522637,0.139627928729907,0.455634966,0.282444589237699,0.54656488,0.250621881476008,0.220508613396704,0.516821679,0.333213787814477,0.54651765,0.264228322367718,0.205914395152998,0.256824254270331,0.117990965216587,0.486989631035247,-0.0488962599810281,-0.00962502403756937,-0.0252165190641122,0.00231101920203561
"10","NUMEX_BILL_MELTON_CA_2019","4","309","2","7",10.8,6.8,7.8,1.05,6.7,-0.037058837741352,0.484602745,-0.0354442421802634,0.465170029,0.086662125231057,0.404688859,0.261090182468802,0.506300131,0.279745844746155,0.489482861,0.337570487142151,0.582243249,0.280370227761237,0.507347171,0.259853154462439,0.461320304,0.369397157484322,0.585654895,0.306419095260108,0.479354833,0.0267585964794613,0.298827975,0.0711644982301245,0.459940531,0.188619436973903,0.414556963,0.365144660500748,0.569008381,0.0671306701704093,0.302839489,0.158178025657918,0.441139849,0.290139378504536,0.548162702,0.232662037589573,0.196598117706898,0.51221128,0.320913695084661,0.541541013,0.271777703006796,0.220506753864628,0.253573314342859,0.112627739524924,0.459553595483965,-0.0898057539128527,-0.0624599792333354,-0.0434832022533294,-0.0163491710986049
