"","Germplasm","Rep","Plot","Row","Range","GNDVI_73","NDRE_73","NDVI_73","GNDVI_88","NDRE_88","NDVI_88","GNDVI_95","NDRE_95","NDVI_95","GNDVI_101","NDRE_101","NDVI_101","GNDVI_107","NDRE_107","NDVI_107","GNDVI_117","NDRE_117","NDVI_117","GNDVI_131","NDRE_131","NDVI_131","GNDVI_138","NDRE_138","NDVI_138","GNDVI_145","NDRE_145","NDVI_145","GNDVI_152","NDRE_152","NDVI_152","GNDVI_160","NDRE_160","NDVI_160","GNDVI_161","NDRE_161","NDVI_161","GNDVI_165","NDRE_165","NDVI_165","GNDVI_173","NDRE_173","NDVI_173","GNDVI_179","NDRE_179","NDVI_179","GNDVI_187","NDRE_187","NDVI_187","GNDVI_192","NDRE_192","NDVI_192","GNDVI_201","NDRE_201","NDVI_201","GNDVI_206","NDRE_206","NDVI_206","GNDVI_215","NDRE_215","NDVI_215","GNDVI_223","NDRE_223","NDVI_223","GNDVI_228","NDRE_228","NDVI_228","GNDVI_237","NDRE_237","NDVI_237","GNDVI_242","NDRE_242","NDVI_242","GNDVI_257","NDRE_257","NDVI_257","GNDVI_263","NDRE_263","NDVI_263","GNDVI_270","NDRE_270","NDVI_270","GNDVI_278","NDRE_278","NDVI_278","GNDVI_283","NDRE_283","NDVI_283","GNDVI_293","NDRE_293","NDVI_293","GNDVI_299","NDRE_299","NDVI_299","GNDVI_307","NDRE_307","NDVI_307"
"1","SW_8421S",1,100,1,1,0.070989934375652,0.450887135,0.447605447,0.0962455802771182,0.42025765,0.451655472,0.153274921449667,0.421333301,0.432500977,0.183160783337612,0.415371645,0.449849243,0.222297459130941,0.420558794,0.467676324,0.233950792069058,0.3878567,0.462062197,0.0665444589942802,0.403145058,0.404367359,0.101328611865837,0.41597514,0.422070838,0.312590523641739,0.350408125,0.499096815,0.349758811942909,0.430212079,0.510859884,-0.0175882122192969,0.460872411,0.243591044,0.0255341087461184,0.5749886,0.514911081,0.0900460044429422,0.35948598,0.313637281,0.227991718388236,0.304710297,0.407856749,0.268797100033474,0.325712865,0.433260896,0.0586499538053729,0.328232448,0.332983345,0.0619076767572968,0.432986671,0.443327586,0.167787879413177,0.393371104,0.376336617,0.161698614792604,0.361213081,0.42445291,0.00409910217988488,0.265383402,0.262117029,0.12058552714888,0.387229806,0.439569986,0.140228799031329,0.38411988,0.36626584,0.304291991805808,0.366456411,0.468136965,0.322002505508648,0.375404149,0.464170761,0.0673501559319571,0.316628841,0.320858806,0.179156197855767,0.380877616,0.420584716,-0.00461063003106091,0.420408235,0.458475496,0.329412013278908,0.300032805,0.463079058,0.0174164132518563,0.471093412,0.381671126,0.243612833686178,0.345297659,0.412223027,0.19839118933518,0.299496823,0.465170254,0.347261048812221,0.293157705,0.50311007
"2","SW_1011",1,101,1,2,0.0583448728749983,0.442845482,0.446397707,0.0731605275109136,0.40515238,0.442674864,0.129993247637545,0.4156027,0.427679085,0.164545511768602,0.391896836,0.437763325,0.203978657209914,0.41716009,0.458546541,0.192513118946478,0.374178264,0.427174501,0.0578964261562656,0.409180161,0.405377118,0.0677192080356383,0.45475019,0.443246819,0.269327407202038,0.322620553,0.44583688,0.307854697005471,0.407549851,0.478753533,-0.0211460904887795,0.423520962,0.22945833,0.0337655196433366,0.563337893,0.499088007,0.063703026727897,0.385424442,0.325712375,0.214468069438523,0.286582433,0.388462712,0.255181514566975,0.328746576,0.420886095,0.0704816063994753,0.256719165,0.390089825,0.055875782361211,0.429624499,0.443430429,0.167659364806136,0.319347662,0.372515758,0.179079708041732,0.385779595,0.428228624,-0.00181140397092141,0.300765494,0.305829229,0.135674398884287,0.378893438,0.437765848,0.167252738477975,0.314837703,0.381703679,0.312186605889549,0.367319707,0.468518112,0.335230984808443,0.392854546,0.476221429,0.0684162489523993,0.30954758,0.302535373,0.171366684041928,0.368803588,0.406067694,0.265417238241007,0.362967273,0.524570428,0.32561287554151,0.288364084,0.460701777,0.0150215046217733,0.474731908,0.343420851,0.217516823728286,0.326272151,0.387131994,0.153359573906068,0.285499509,0.421456831,0.310434334434757,0.263324933,0.457700999
"3","SW_9813",2,102,1,3,0.0392812749696644,0.442895707,0.437026184,0.0243862885964715,0.414412039,0.436793026,0.100572583799957,0.405599798,0.431043743,0.12097644428733,0.404192821,0.440012979,0.200853379610209,0.43300207,0.466796951,0.161207979854415,0.392437552,0.43468896,0.0328742976750143,0.411127628,0.411466251,0.0103837132978349,0.469255643,0.449106971,0.207551719878675,0.33502602,0.422188921,0.228909108445925,0.401819831,0.452279268,-0.0219490821010521,0.333909013,0.168432035,0.0366293588804871,0.560647515,0.515959872,0.0207270102122393,0.426118816,0.393057017,0.172209317403776,0.263713387,0.324904009,0.173008412708129,0.335384294,0.377824529,0.0607895248476669,0.26014055,0.357597123,0.0380757917893053,0.426802801,0.435257611,0.159359355641858,0.307657056,0.315955141,0.144779572441821,0.406224267,0.411263378,0.00795372972118852,0.300634079,0.280181986,0.148325888857564,0.370882477,0.438453279,0.151352190517421,0.298142425,0.372241081,0.314679454610828,0.360161008,0.459276209,0.347325307751877,0.384877469,0.484939061,0.103690378070813,0.293049166,0.317382111,0.185483015641172,0.36077326,0.428300728,0.199939088441227,0.351371403,0.492806581,0.341753832728546,0.309860183,0.479392245,0.0191630917324928,0.463876654,0.344625459,0.235666621181683,0.340669532,0.422857626,0.162210308135012,0.287368639,0.449742313,0.317582287122217,0.278189492,0.474024103
"4","DONA_ANA",2,103,1,4,0.085998801348187,0.44721667,0.455132714,0.0841324284609388,0.416975614,0.449536064,0.193274183920608,0.397133065,0.44866974,0.178227880878765,0.411349081,0.461038485,0.263033803958777,0.44215026,0.487315574,0.218420947802422,0.411233618,0.471637122,0.0547716097238869,0.400006346,0.38994019,0.0579891764928697,0.420512715,0.431810224,0.255837671852531,0.359758327,0.487322382,0.275343825303152,0.441063251,0.503095607,-0.0113839274582651,0.335246294,0.163506147,0.0371290539112156,0.563999088,0.515845873,0.0543740717289083,0.40622952,0.400787502,0.221489703393445,0.290941657,0.39689034,0.219996509316974,0.33751404,0.419479665,0.0591367194236941,0.261396701,0.321068037,0.0709091142482485,0.436498114,0.437919327,0.20433430897226,0.31939154,0.375626367,0.197378811890677,0.425814337,0.443767762,0.0275209656610454,0.287320035,0.262820074,0.186985105272065,0.374165111,0.451660153,0.178774253094181,0.308271238,0.387526597,0.344784818547175,0.369525681,0.486546118,0.365510919316797,0.397160631,0.494473066,0.121879471979182,0.300525295,0.303687972,0.212809533177849,0.365628615,0.43639786,0.269764068272444,0.372284919,0.556528869,0.350016198862279,0.323714098,0.496496346,0.0187492929304777,0.474449357,0.317845472,0.250923495763377,0.347800637,0.434446859,0.1853441356258,0.2948908,0.462001327,0.335709243828958,0.271324093,0.492179772
"5","NM1715PAR",3,104,1,5,0.00164145927959275,0.460642923,0.446554435,-0.00366133433185342,0.436939049,0.450583994,0.119707679351641,0.431882868,0.459502077,0.102154745398859,0.431389173,0.454573006,0.188175401978136,0.435776091,0.464583922,0.137873623314162,0.402855387,0.427927664,0.0419616065824173,0.414255135,0.358972958,-0.0181408428769045,0.433815462,0.449098904,0.119188089308654,0.364034725,0.402788788,0.107645983458653,0.395467371,0.389580715,-0.0241871113162689,0.415858513,0.177038903,0.0344670899684326,0.528180575,0.51618787,-0.0134334618584679,0.439875163,0.399833234,0.0847572755789539,0.265004047,0.237625906,0.0489827918011309,0.393717396,0.359323011,0.0429274118134463,0.234347449,0.307776244,-0.00899715135977389,0.458119859,0.434044487,0.0833010604640786,0.334830471,0.260963596,0.0460895347810768,0.431807546,0.39809272,-0.00764583722869392,0.306101631,0.24318096,0.0511699610084647,0.422395982,0.430172688,0.076245958689572,0.399228184,0.316021047,0.209316908357991,0.32659122,0.373148116,0.235217748209832,0.353670493,0.390718882,0.0605817698630476,0.328229978,0.272381532,0.112655424922217,0.385170422,0.380672628,0.212214247846325,0.32487976,0.504180353,0.260080693414463,0.231967149,0.383961887,0.0299683590021122,0.431572355,0.290926147,0.136070662685092,0.296696771,0.29304163,0.064726797637568,0.291313491,0.374828933,0.199242518230876,0.255901217,0.369714151
"6","NM170506PAR",3,105,1,6,0.0502088178365668,0.443661582,0.446015302,0.0269553531119388,0.421943483,0.446374924,0.160732250855534,0.424926286,0.451209851,0.115535257224582,0.419613216,0.445736464,0.21421727225013,0.427977937,0.469706703,0.184993860773758,0.413321509,0.456573262,0.0433721539235043,0.39213522,0.358822146,0.0335253674589568,0.424645381,0.436150303,0.215263590913476,0.346921431,0.464642049,0.243933566637404,0.432364403,0.485839655,-0.00889766109081286,0.329496086,0.157382696,0.0235033653097192,0.495189238,0.512061104,0.0454122553420502,0.402583913,0.390525356,0.213024511465394,0.27621043,0.389347898,0.229664974379104,0.342277252,0.438702715,0.0756052511263853,0.212551348,0.428646558,0.0685747131206493,0.421951769,0.422447783,0.195485744584678,0.29272952,0.3533782,0.206541884385294,0.420918148,0.435228886,0.0478495702188322,0.299622198,0.223367402,0.167706403700787,0.360077519,0.425509223,0.161571244056142,0.299058921,0.380248602,0.331556417563771,0.351215713,0.461969405,0.352415566391442,0.3794235,0.475407772,0.104741947072509,0.301164226,0.316422124,0.183101082422572,0.370206907,0.451683315,0.222029204703829,0.352291458,0.515151331,0.351482806790501,0.306394572,0.49644045,0.0253447900057893,0.443018451,0.299936069,0.239153647821563,0.325949514,0.401359051,0.159431243480961,0.286718186,0.449682812,0.314169157231381,0.27309293,0.473873564
"7","NM1704PAR",4,106,1,7,0.05142923808309,0.446836865,0.44536989,0.0328466247051749,0.418942405,0.447285385,0.148075448762929,0.427695515,0.452652693,0.139616517051407,0.419147945,0.457041684,0.236809872080074,0.443170856,0.477433469,0.194306966147399,0.408304498,0.46444624,0.0320537247801689,0.398183232,0.315602128,0.0415111418534412,0.423051574,0.453867675,0.253064518464028,0.373235375,0.484030226,0.288065709133265,0.461445695,0.51844149,-0.022395359395226,0.36547035,0.16070192,0.0193972217735793,0.49876881,0.502963976,0.0311986783264163,0.420693678,0.400994422,0.2331465193811,0.29904996,0.418164907,0.264171074447027,0.354905392,0.455278703,0.0256521749884153,0.258724289,0.339837376,0.0535665478807416,0.431714071,0.424305183,0.194247800461948,0.288582695,0.366843324,0.22551818453026,0.421623048,0.434480377,0.0108200099828089,0.345941539,0.195216354,0.160796994417904,0.378886385,0.421042919,0.160705966741748,0.281632376,0.380089425,0.327305139571621,0.345089417,0.454839116,0.353531649279239,0.371801951,0.469213657,0.103601682241183,0.307162792,0.304130801,0.18281575565622,0.385763431,0.436589599,0.0561831731966596,0.395948787,0.473365173,0.354079534977524,0.296861663,0.506890794,0.00607943388545969,0.361014096,0.25630443,0.219877547642452,0.310043305,0.367459995,0.161050434817056,0.287972895,0.438910786,0.32184523128827,0.271567217,0.478659502
"8","NM1712PAR",4,107,1,8,0.00269090368170247,0.455412131,0.443007014,0.000995821670485855,0.441271386,0.448788927,0.0806139638348767,0.431783041,0.440015014,0.096208684459996,0.421644552,0.451786157,0.193112844581831,0.436522195,0.4669388,0.160402868420469,0.410574765,0.446328055,0.0279212878015148,0.41184965,0.302077948,0.0160852724814826,0.42692989,0.441762612,0.209873158885617,0.351267741,0.453545259,0.234033142756956,0.450382445,0.49231523,-0.0290689695048286,0.48776029,0.187713725,0.0148479746636088,0.524783402,0.517305062,0.0161907932400825,0.424860513,0.393833183,0.190823350589324,0.273037521,0.352879427,0.19690835755679,0.336395823,0.419900732,0.00152672565697975,0.298304756,0.356125072,0.0296059339306855,0.43773442,0.424187083,0.161085231362815,0.296871171,0.334523737,0.172509941037056,0.378178876,0.413721459,-0.00945187895197234,0.316099493,0.198551523,0.131804468546494,0.389620834,0.40748851,0.120709937491397,0.339891987,0.353379346,0.282937752725236,0.334272852,0.420758944,0.301293201842844,0.359556469,0.436820138,0.0710191012123952,0.313599746,0.273248448,0.139178856607153,0.397553035,0.415142344,0.104951381322502,0.345714218,0.464208018,0.310828499750329,0.276309764,0.469593542,-0.000693537181149309,0.31779478,0.281418015,0.17008721503114,0.300701246,0.326256641,0.108862550947086,0.292940363,0.410386743,0.242757134400308,0.264586132,0.426357433
"9","NUMEX_BILL_MELTON_CA_2019",4,108,2,8,0.0250393212071527,0.443242722,0.447307804,0.0196600104742697,0.429408881,0.437891987,0.118832680258529,0.426682138,0.4343305,0.129342216935938,0.408897327,0.453866418,0.227928071975734,0.429035721,0.474624398,0.280502666368864,0.369632006,0.47596427,0.0358100537697568,0.387596899,0.287943489,0.0297306355132695,0.426551086,0.426003392,0.236328515547613,0.365908099,0.482036821,0.274523882562132,0.458372929,0.522032369,-0.0321286590013181,0.422122457,0.226895552,0.00953269805832213,0.547811218,0.526607387,0.0199001393625111,0.414815031,0.389853369,0.185269594266073,0.279985086,0.364783791,0.229822476853631,0.343790479,0.442905942,-9.60180512625227e-05,0.252694544,0.335264067,0.00441448913105103,0.422275036,0.42038617,0.171340512476868,0.279671969,0.358170677,0.204630312509034,0.371636751,0.427096683,-0.0107166652333472,0.301714756,0.194955669,0.165163139222338,0.356070164,0.421221545,0.160221289912915,0.279665679,0.364675178,0.334679533265197,0.371249491,0.497276544,0.326080703397142,0.366300077,0.463845414,0.0813739132737585,0.303546987,0.29639285,0.16508482839061,0.382356061,0.411805179,0.152364699840309,0.338061362,0.47470986,0.346166151043718,0.308225538,0.510125717,-0.00616696951681343,0.33780781,0.29973034,0.196207505158412,0.339567895,0.383777534,0.141175439328342,0.286538756,0.435470405,0.289151379947991,0.25935555,0.448996335
"10","NUMEX_BILL_MELTON_CA_2019",4,109,2,7,0.0317099431600051,0.444711947,0.447606405,0.00518304686589854,0.412444294,0.438318575,0.121536897732414,0.421260952,0.436361733,0.116265613739406,0.414544469,0.452125406,0.206587531964005,0.429764543,0.472624985,0.211350852227101,0.368528275,0.44531104,0.031201069579055,0.402124081,0.316609997,0.0263115261869956,0.432296473,0.424595623,0.223027616730284,0.372578049,0.474312404,0.260580200578273,0.450220212,0.506540836,-0.0292864759774865,0.341275714,0.201101211,0.00720422383261755,0.554400365,0.521751026,0.0151515782022641,0.420393928,0.399683299,0.185942913392752,0.280164809,0.359210904,0.225061239098435,0.36162399,0.441829511,0.0227305572786025,0.224024262,0.318575429,0.0136211663840882,0.43228432,0.42297513,0.160061156124386,0.282483032,0.33669056,0.204377546351962,0.418626941,0.427312415,0.00171738052397792,0.350430757,0.195687738,0.157505293048547,0.377889262,0.430094611,0.157055083703033,0.288164856,0.344498385,0.315954467342835,0.367884576,0.467610527,0.314017021755201,0.35541508,0.455623592,0.0778247560890315,0.315316344,0.298691183,0.180955782598949,0.377317344,0.401609413,0.139732458242984,0.343530962,0.458853024,0.343378447712302,0.312589513,0.494334387,0.00306725809932175,0.34905619,0.273092695,0.192715383975222,0.340814534,0.380888742,0.136835800654672,0.304616371,0.443026752,0.304959707916844,0.268400295,0.458660305
