"","X","Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","GNDVI_62","NDRE_62","NDVI_62","GNDVI_76","NDRE_76","NDVI_76","GNDVI_90","NDRE_90","NDVI_90","GNDVI_96","NDRE_96","NDVI_96","GNDVI_104","NDRE_104","NDVI_104","GNDVI_110","NDRE_110","NDVI_110","GNDVI_114","NDRE_114","NDVI_114","GNDVI_124","NDRE_124","NDVI_124","GNDVI_130","NDRE_130","NDVI_130","GNDVI_138","NDRE_138","NDVI_138","GNDVI_144","NDRE_144","NDVI_144","GNDVI_150","NDRE_150","NDVI_150","GNDVI_160","NDRE_160","NDVI_160","GNDVI_166","NDRE_166","NDVI_166","GNDVI_174","NDRE_174","NDVI_174","GNDVI_180","NDRE_180","NDVI_180","GNDVI_188","NDRE_188","NDVI_188","GNDVI_194","NDRE_194","NDVI_194","GNDVI_200","NDRE_200","NDVI_200","GNDVI_206","NDRE_206","NDVI_206","GNDVI_216","NDRE_216","NDVI_216","GNDVI_222","NDRE_222","NDVI_222","GNDVI_228","NDRE_228","NDVI_228","GNDVI_236","NDRE_236","NDVI_236","GNDVI_240","NDRE_240","NDVI_240","GNDVI_250","NDRE_250","NDVI_250","GNDVI_256","NDRE_256","NDVI_256","GNDVI_264","NDRE_264","NDVI_264","GNDVI_270","NDRE_270","NDVI_270","GNDVI_278","NDRE_278","NDVI_278","GNDVI_284","NDRE_284","NDVI_284","GNDVI_292","NDRE_292","NDVI_292"
"1",1,"SW_1011",1,300,1,1,8.3,4.55,6.1,0.4,6.05,-0.0814892329956056,0.5034717,0.450568858,-0.0583049352244414,0.479916,0.450915777,0.132034140253205,0.360062679,0.396815285,0.275234403724429,0.415700049,0.526684756,0.338864194948557,0.370661184,0.515866007,0.362332808007711,0.419071383,0.551538594,0.24970810005718,0.475652184,0.569178774,0.058777420117263,0.424529596,0.4217241,0.241492440828845,0.404290119,0.49050852,0.256433876745541,0.406825066,0.419094279,0.282719214261829,0.432582734,0.524506635,0.160651577140271,0.394316797,0.417351464,-0.00738183811269644,0.479301709,0.262539673,0.00761758144492447,0.442945221,0.464649221,0.189637535307554,0.313887796,0.377501482,0.314342192213627,0.382922937,0.512856317,0.0189877778857426,0.442421921,0.439945902,-0.00439283951166424,0.436322859,0.442658327,-0.0147707157594951,0.460799876,0.457570117,0.0246751342939337,0.444141375,0.429880256,0.00481075070897618,0.383896989,0.427097555,-0.0317780869841191,0.455376082,0.424468641,-0.10325739532961,0.535300866,0.511417366,-0.0430478828428982,0.438040531,0.417279756,-0.0200059939207953,0.445772839,0.420137399,-0.00992962614206555,0.444697234,0.439777072,0.0909381482651339,0.243045026,0.23049367,0.151841416651849,0.311948285,0.425819584,0.186968235454695,0.419268614,0.497962483,0.253471973911654,0.362492763,0.483285142,0.237443279733552,0.271876497,0.476293226,0.327172919526342,0.339382888,0.528467827
"2",2,"SW_8421S",1,301,1,2,10.25,6.85,9.15,1.3,7.6,-0.00547924438763582,0.469129826,0.463592877,0.00596789859532179,0.445244163,0.453427243,0.126976835381617,0.331640021,0.389756957,0.2912423142182,0.430506418,0.52182835,0.336304212346861,0.390211568,0.537286227,0.328777938208945,0.401306684,0.51572487,0.300318784473783,0.470182006,0.5809646,0.0570806048118673,0.424012866,0.350784961,0.347627173394707,0.436768318,0.530198968,0.318471521211513,0.436699422,0.499593225,0.386012583102943,0.49664329,0.571518681,0.338462283401939,0.427374193,0.504022012,0.0938643195503099,0.240775686,0.236856943,0.121364044427142,0.424704953,0.464943107,0.2755016939864,0.344346312,0.499310653,0.382045083778698,0.42589046,0.550292645,0.0414813353110772,0.421801508,0.424829563,0.116028428567518,0.402740886,0.444396057,0.114138174809934,0.486214233,0.429192521,0.121408248437633,0.41981496,0.423748305,0.0303911407324907,0.319785673,0.412076048,0.0674987070184387,0.341985743,0.294131491,-0.031217882424705,0.513248543,0.502685171,-0.0101046683086535,0.397741922,0.382982505,0.0489580718479067,0.466878958,0.417101358,0.0599904223176764,0.452915524,0.439609456,0.159555652519275,0.290311496,0.33858464,0.288245372739184,0.339715801,0.553732357,0.375227958513392,0.442110645,0.593701685,0.2976656271598,0.373058528,0.608205201,0.267343142577609,0.27206797,0.548581737,0.361630847828462,0.31915451,0.569137368
"3",3,"NM1715PAR",2,302,1,3,7.8,5.4,7.05,0.6,6.45,-0.0663533309821834,0.48256198,0.498299591,-0.0350256635794625,0.456139291,0.467419552,0.0836994789327529,0.327215892,0.350185054,0.216075175013545,0.417904292,0.490986864,0.258359068967226,0.329636408,0.463883372,0.351867878656544,0.411998638,0.531644234,0.256663328864056,0.446615684,0.554967871,0.0878269722369366,0.301697125,0.290069264,0.24338959431054,0.427234429,0.483581692,0.282553165413068,0.364171666,0.468618937,0.344611668656807,0.477948957,0.552768116,0.293304017624613,0.404887191,0.46254947,0.080632179734167,0.174138819,0.202880713,0.0654943429829638,0.441144165,0.464745082,0.232864057694204,0.28435756,0.480024375,0.349410713961831,0.392225652,0.57138969,0.0395458659139576,0.431159425,0.42274642,0.0661317179537312,0.424775974,0.443248846,0.0445045268168003,0.456234561,0.45084467,0.0774064875049896,0.425153221,0.40981367,0.0388963401750964,0.249219783,0.379355157,0.0819054076806556,0.353101621,0.29729308,0.0197329800372009,0.491282759,0.442077991,-0.00244642521907606,0.412618604,0.392229399,0.0269257878983026,0.471907205,0.399138737,0.0287506692942971,0.456895236,0.44785084,0.104215548541349,0.246314497,0.269545136,0.215029857417689,0.29076009,0.452209125,0.309015855656119,0.415741808,0.554702039,0.285692276730498,0.380158665,0.582401971,0.267612442955564,0.312885577,0.54181325,0.378099096810207,0.364677026,0.575386977
"4",4,"NM170506PAR",2,303,1,4,9.5,5.95,8.55,1.15,7.25,-0.0160490672771642,0.480472937,0.483607508,-0.00809716196898026,0.470896088,0.466717073,0.109619248285107,0.323284059,0.380694755,0.279506411694191,0.410604665,0.499669081,0.271734319930353,0.3634989,0.490785724,0.327392174505804,0.405787967,0.523213778,0.272736111052336,0.462414088,0.576656888,0.104823821345905,0.271876247,0.270829333,0.326997588739392,0.441399719,0.524662373,0.283508611642261,0.353842614,0.47302347,0.367643324115646,0.493912992,0.582125725,0.315297436610745,0.397302823,0.472109309,0.0805259525298068,0.20073978,0.200509388,0.115525729727391,0.438043903,0.473128978,0.238947137223116,0.267637494,0.463724387,0.374408588570694,0.419251944,0.566495575,0.0535466716829556,0.395958645,0.387960886,0.113824624277167,0.399839016,0.41252948,0.0855855856439034,0.486115937,0.469126413,0.115775591529206,0.419734025,0.400518523,0.0430633064926086,0.266666667,0.375999292,0.0776171351821,0.344927099,0.295702363,0.00182339468972295,0.4896971,0.454037977,0.000803275867567811,0.390914683,0.367144907,0.0367667127344324,0.462657089,0.388748712,0.0558852087233758,0.452791841,0.44310299,0.109148217668279,0.26304602,0.313089824,0.214012566172288,0.314787327,0.494299611,0.358057015759394,0.42773006,0.581074782,0.270229243027846,0.393331762,0.574582811,0.248654011740163,0.296129215,0.541571416,0.365652303964035,0.330131084,0.572098098
"5",5,"SW_9813",3,304,1,5,9.35,5.35,8.2,0.85,7.1,-0.0311637855115635,0.494585694,0.479640606,-0.0457429283466656,0.493693428,0.462055388,0.102549511504214,0.329344875,0.375488825,0.280144479501447,0.422642739,0.501085356,0.255508101834617,0.344496233,0.46160684,0.207131363994605,0.383748933,0.441716363,0.263151272113045,0.435362762,0.577467485,0.104845317803682,0.28769096,0.293392227,0.294041932141551,0.41185628,0.514494304,0.27260883126933,0.371699781,0.453980805,0.347610925962028,0.449087967,0.573247145,0.235248339438227,0.296610345,0.414209866,0.0511886539724871,0.202496757,0.169309529,0.0730526929353229,0.446886571,0.455462464,0.208519151435552,0.274921017,0.416195536,0.342787511014382,0.381629279,0.543017139,0.0569115763671711,0.367277413,0.344149121,0.105317943384547,0.364061157,0.370319782,0.057165634734817,0.495157146,0.41192324,0.0967318922470691,0.363124747,0.356009454,0.0233252879317468,0.31763719,0.371496751,0.0371661422368682,0.260643099,0.280267768,-0.0297280871520376,0.511275056,0.480235953,0.00701008207705514,0.345290719,0.309198658,0.0248948013682072,0.437077945,0.34330877,0.0153747280429495,0.463938089,0.447825324,0.0583933729815694,0.257437826,0.329647481,0.17189261728864,0.301892195,0.447654469,0.308465698027864,0.408080479,0.55944293,0.274158530958698,0.394396588,0.54649542,0.219598604718779,0.278697711,0.492485139,0.327080503841424,0.304223791,0.530749631
"6",6,"DONA_ANA",3,305,1,6,9.15,4.95,7.3,0.9,7.2,-0.0365130268271406,0.473089891,0.477244546,-0.0490854893485559,0.471777744,0.460276315,0.113207956309734,0.343836505,0.379459588,0.299442297127833,0.421406321,0.510131023,0.288350632697935,0.377070445,0.495142042,0.2278198441407,0.387703979,0.454116148,0.304539614311413,0.456972668,0.581547831,0.0363154331849117,0.270266772,0.268722919,0.302276345013845,0.421330121,0.507499545,0.275982153068072,0.351254523,0.444016314,0.352176822521957,0.478561302,0.569083148,0.23820232210344,0.363039061,0.439747572,0.0479758059156516,0.307186905,0.198417583,0.0671679598193444,0.442399617,0.469653933,0.203998663829154,0.276144908,0.415984582,0.367055258916514,0.421710868,0.555148349,0.0556740894266592,0.425359613,0.425381003,0.107749014705524,0.413407774,0.444784674,0.0652439297684136,0.500068945,0.471730352,0.0937044670056557,0.411077931,0.40856898,-0.0050134079659057,0.43232892,0.419609519,0.0123916274170616,0.340535695,0.386354431,-0.0545950802109732,0.508337019,0.442972495,-0.00172690184536354,0.392237607,0.366398694,0.0290892232728342,0.441475357,0.376288052,0.0420026610307489,0.462664658,0.449403849,0.114352701205387,0.27478405,0.303109203,0.21194510533914,0.319776455,0.480120546,0.340892765749184,0.407782465,0.565902375,0.307580881559869,0.396314881,0.582050326,0.236628122237468,0.29681399,0.52849293,0.359248500184772,0.333508954,0.561099521
"7",7,"NM1712PAR",4,306,1,7,8.35,4.9,6.45,0.4,5.65,-0.0604476201835268,0.478622771,0.488349297,-0.066160583250568,0.460032562,0.463259757,0.0835991638437823,0.361216976,0.359343521,0.227899107469703,0.438830168,0.489925734,0.273215680328496,0.351931319,0.456693397,0.2402886191535,0.397145891,0.473012629,0.293548067418731,0.442725746,0.568510745,0.099162866564818,0.299154751,0.308332124,0.244956981752226,0.42745744,0.493020976,0.277847362342033,0.360537404,0.445265604,0.340183057883697,0.477872517,0.567390717,0.253788289706312,0.410941501,0.445819908,0.0442379303697354,0.383230526,0.252420272,0.0728765830679519,0.430801237,0.465719927,0.196204857987441,0.311134851,0.421350202,0.353412804429241,0.420724179,0.562048323,0.0180896299512298,0.438537168,0.436328534,0.0443055802487257,0.42942765,0.44574753,0.0152330027441874,0.455309096,0.483870993,0.0543247067790642,0.434605452,0.419388956,-0.0214441629215247,0.367804964,0.426985829,0.00448054694937338,0.409442498,0.440658018,-0.0843116018376509,0.525630217,0.487474578,-0.0127979836581192,0.417190476,0.399691221,-0.0198349303894624,0.47873119,0.432039444,-0.0103448286641451,0.444475049,0.43898478,0.0509558817186828,0.242048644,0.258308667,0.139255652930821,0.282177653,0.418966964,0.249675873633162,0.415731407,0.525857424,0.255229272127744,0.373535902,0.52244141,0.214931300216464,0.319086404,0.509658922,0.328537542479025,0.373761804,0.549820172
"8",8,"NM1704PAR",4,307,1,8,9.15,4.85,7.1,0.7,6.35,-0.0259783187728737,0.45717085,0.485055678,-0.0324959406791493,0.446666165,0.463810909,0.120441026375437,0.359098965,0.362459045,0.253202698644258,0.426658203,0.498803449,0.275238347969674,0.369537447,0.476668493,0.199774136937487,0.38724978,0.456136643,0.305116696019293,0.44048608,0.582389969,-0.0206985505673614,0.456237617,0.461470031,0.262832628807081,0.411332354,0.515467847,0.292654543595303,0.409580141,0.473754546,0.354409004039633,0.458375857,0.584803478,0.259130145928751,0.402884148,0.449678933,-0.0319529463528187,0.496301006,0.424025989,0.0700508889626813,0.427266034,0.457248848,0.1752556922255,0.293242836,0.413110032,0.319190316693642,0.409950359,0.564572049,-0.000248231491648623,0.433867482,0.431486631,0.0286410272615461,0.422113581,0.438227235,0.00378776958199644,0.464761629,0.456436274,0.0414284883451285,0.40882077,0.406409521,-0.0185493508907586,0.377744446,0.409783625,-0.0685407802639242,0.504957345,0.501505692,-0.14343370109357,0.558989062,0.557072737,-0.075373281318518,0.458592943,0.441227672,-0.078003123420833,0.483811004,0.452498316,-0.0295850971362602,0.455351616,0.446249297,0.0500531544857474,0.252758375,0.301873437,0.134791601256512,0.274349584,0.442718013,0.273166768997108,0.406735458,0.54221557,0.263782949774141,0.370990314,0.534122112,0.228752579231983,0.307059246,0.522832385,0.325449582749371,0.369753296,0.562105538
"9",9,"NUMEX_BILL_MELTON",4,308,2,8,10.5,6.35,7.9,1.1,7.1,-0.0395911609627136,0.456674761,0.48868013,-0.0220376015491439,0.447223406,0.467035751,0.0965078047779912,0.391152625,0.389309961,0.255628220039308,0.418559216,0.505175723,0.27138233247571,0.378323295,0.469655555,0.270354751314621,0.38713743,0.492730233,0.355388961519158,0.445237358,0.590773994,-0.0693419306601412,0.55286171,0.530190793,0.24814675690714,0.394776496,0.50711542,0.25777246887945,0.394056237,0.470046411,0.359812148921834,0.440078596,0.587847789,0.279325285014311,0.392427276,0.472714068,-0.0421976618180871,0.482233883,0.370822113,0.0635962756321391,0.430656904,0.454875762,0.160249196184623,0.310735154,0.399874495,0.340780585910212,0.392591091,0.567160381,-0.0134004804953646,0.43131644,0.431976068,0.0228942172306755,0.426850948,0.444937945,-0.0129536945061998,0.467139233,0.460979722,0.0569879043142193,0.409432182,0.408669573,-0.0397356717667779,0.345594473,0.362749008,-0.0752144178616509,0.488842545,0.47867542,-0.152439218544228,0.554436287,0.554391862,-0.0855987986861881,0.458414985,0.436966234,-0.0722221733428317,0.483815929,0.442885887,-0.0441200307082912,0.452883951,0.440732301,0.0542517851963299,0.257041661,0.323522637,0.139627928729907,0.263987564,0.455634966,0.282444589237699,0.404508127,0.54656488,0.250621881476008,0.338297541,0.531311808,0.220508613396704,0.293066826,0.516821679,0.333213787814477,0.326119095,0.54651765
"10",10,"NUMEX_BILL_MELTON",4,309,2,7,10.8,6.8,7.8,1.05,6.7,-0.037058837741352,0.468775555,0.484602745,-0.0354442421802634,0.449957543,0.465170029,0.086662125231057,0.368613471,0.404688859,0.261090182468802,0.417449406,0.506300131,0.279745844746155,0.392418543,0.489482861,0.215505652113242,0.384048108,0.460070213,0.337570487142151,0.458283802,0.582243249,0.022120557227437,0.269229102,0.26739764,0.280370227761237,0.43476306,0.507347171,0.259853154462439,0.358785992,0.461320304,0.369397157484322,0.480991248,0.585654895,0.306419095260108,0.409491884,0.479354833,0.0267585964794613,0.411788442,0.298827975,0.0711644982301245,0.422162232,0.459940531,0.188619436973903,0.333360846,0.414556963,0.365144660500748,0.408284632,0.569008381,0.0131245618950047,0.428653595,0.444117848,0.0586367575201876,0.411304244,0.429374237,0.0386128544127779,0.463829892,0.484729757,0.0768234553615299,0.408918496,0.4144545,-0.014549904612516,0.409597788,0.427806454,0.00435321330412915,0.32522359,0.373407126,-0.0852102805870596,0.50026636,0.455167726,-0.0128911006066432,0.398195536,0.378880526,-0.00298773048548688,0.502979739,0.389754907,-0.00939080566109019,0.462282389,0.442111128,0.0671306701704093,0.260167041,0.302839489,0.158178025657918,0.290085451,0.441139849,0.290139378504536,0.428365347,0.548162702,0.232662037589573,0.318338274,0.522123253,0.196598117706898,0.27824987,0.51221128,0.320913695084661,0.319678563,0.541541013
